State ,Centre ,Variety , Unit,JAN 2017,FEB 2017,MAR 2017,APR 2017,MAY 2017,JUN 2017,JUL 2017,AUG 2017,SEP 2017,OCT 2017,NOV 2017,DEC 2017,JAN 2018,FEB 2018,MAR 2018,APR 2018,MAY 2018,JUN 2018,JUL 2018,AUG 2018,SEP 2018,OCT 2018,NOV 2018,DEC 2018,JAN 2019,FEB 2019,MAR 2019,APR 2019,MAY 2019,JUN 2019,JUL 2019,AUG 2019,SEP 2019,OCT 2019,NOV 2019,DEC 2019,JAN 2020,FEB 2020,MAR 2020,APR 2020,MAY 2020,JUN 2020,JUL 2020,AUG 2020,SEP 2020,OCT 2020,NOV 2020,DEC 2020,JAN 2021,FEB 2021,MAR 2021,APR 2021,MAY 2021,JUN 2021,JUL 2021,AUG 2021,SEP 2021,OCT 2021,NOV 2021,DEC 2021,JAN 2022,FEB 2022,MAR 2022,APR 2022,MAY 2022,JUN 2022,JUL 2022,AUG 2022,SEP 2022,OCT 2022,NOV 2022,DEC 2022
Kerala,Ernakulam,Kalyan HYV,Kg.,34,34,34,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,34,34,36,36,36,36,36,36,34,33,32,36,36,36,36,36,36,36,36,36,36,36,36,36,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,38,38,38,38,40,40,40,40,40
Kerala,Khozhikode,Desi,Kg.,38,38,38,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,38,40,42,42,42,42,42,42,42,40,40,38,38,38,40,40,40,44,40,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,39,39,39,45,45,45,45
Kerala,Trivandrum,Desi,Kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,Trivandrum,Kalyan HYV,Kg.,34,34,34,33,32,32,32,32,32,32,32,32,32,32,30,30,32,32,32,33,33,33,34,33,33,33,33,33,33,34,34,34,34,34,35,35,35,35,35,35,35,35,34,34,34,34,34,34,34,34,33,33,33,32,32,32,32,34,34,33,34,33,35,36,35,37,37,39,39,38,39,38
Madhya Pradesh,Bhillai,Desi,Kg.,,,,,,,,,,,,,,,,,,,24,27,23,23,24,25,24,25,28,27,27,26,27,28,28,28,30,32,30,30,31,32,30,30,30,28,28,26,27,26,28,30,27,28,30,32,32,30,28,30,30,32,35,35,35,35,35,35,35,34,35,40,40,40
Madhya Pradesh,Bhillai,Kalyan HYV,Kg.,,,,,,,,,,,,,,,,,,,23,24,24,25,23,23,26,27,25,24,22,22,22,22,22,22,26,28,28,26,26,27,26,24,25,21,22,22,23,22,23,25,24,23,25,25,24,23,23,26,26,25,28,28,28,26,25,25,25,27,32,35,32,34
Madhya Pradesh,Bhopal,Desi,Kg.,26,27,27,27,27,25,23,24,24,24,24,26,26,26,26,26,28,28,27,26,22,22,21,21,22,22,22,21,22,22,22,21,24,24,24,24,26,26,26,26,26,23,25,25,26,27,26,28,28,30,30,30,29,30,32,32,34,35,33,35,35,35,38,36,38,35,38,35,32,33,35,35
Madhya Pradesh,Bhopal,Kalyan HYV,Kg.,24,25,25,25,26,22,21,22,21,20,20,23,23,23,23,23,23,23,22,25,24,24,23,23,24,24,24,23,24,24,25,24,25,25,25,25,25,24,24,24,24,21,22,21,20,22,23,25,23,26,24,24,24,24,26,26,28,28,27,28,28,26,28,26,28,26,28,28,30,28,27,27
Madhya Pradesh,Gwalior,Desi,Kg.,,,,,,,,,,,,,,,,,,,30,28,20,19,19,19,20,22,22,22,23,22,20,21,21,21,24,24,26,25,25,25,24,23,23,23,23,23,22,24,25,23,23,27,28,30,31,31,32,35,35,35,35,33,34,35,35,35,34,36,36,35,36,42
Madhya Pradesh,Gwalior,Kalyan HYV,Kg.,,,,,,,,,,,,,,,,,,,24,20,20,20,20,21,22,23,21,20,20,20,20,22,23,23,22,22,24,22,22,23,21,20,21,19,19,19,19,20,21,21,21,22,22,23,23,23,21,22,23,23,23,24,26,26,24,25,25,25,26,25,28,34
Madhya Pradesh,Indore,Desi,Kg.,,,,,,,,,,,,,,,,,,,32,28,25,21,22,22,22,23,22,22,22,22,22,22,23,23,23,23,25,25,24,25,24,24,23,23,23,24,25,25,24,24,24,28,30,30,28,28,28,28,30,30,28,32,32,30,30,30,26,28,27,28,29,29
Madhya Pradesh,Indore,Kalyan HYV,Kg.,,,,,,,,,,,,,,,,,,,23,23,22,22,21,20,21,22,21,21,20,20,20,20,20,20,20,20,22,23,22,22,21,22,21,20,20,20,21,21,21,21,22,24,24,24,23,23,23,24,25,24,22,26,25,24,25,24,24,25,25,26,27,27
Madhya Pradesh,Rewa,Desi,Kg.,,,,,,,,,,,,,,,,,,,28,26,23,22,21,21,20,20,22,22,22,23,24,23,24,24,25,25,25,22,24,24,24,24,25,25,25,25,25,26,23,23,24,25,27,28,27,27,27,28,30,30,30,30,32,30,30,30,26,28,28,28,28,28
Madhya Pradesh,Rewa,Kalyan HYV,Kg.,,,,,,,,,,,,,,,,,,,23,23,25,25,24,23,22,21,21,21,20,20,20,19,20,20,22,22,23,21,20,20,21,21,21,21,21,21,22,23,21,20,20,22,20,20,21,21,21,22,24,21,21,22,22,22,22,22,22,24,22,22,22,24
Madhya Pradesh,Sehore,Desi,Kg.,,,,,,,,,,,,,,,,,,,32,28,25,26,25,25,24,24,23,22,22,22,22,22,23,23,25,26,26,26,24,24,25,25,24,24,25,25,25,27,25,27,26,30,30,30,28,28,30,32,32,30,30,30,33,32,35,35,32,32,32,35,35,38
Madhya Pradesh,Sehore,Kalyan HYV,Kg.,,,,,,,,,,,,,,,,,,,23,24,23,22,22,22,23,23,21,20,20,20,20,19,20,20,22,23,23,23,21,21,21,22,21,21,20,20,21,23,22,21,20,22,23,24,23,23,25,25,25,25,24,23,25,25,26,25,25,26,27,25,25,24
Maharashtra,Aurangabad,Desi,Kg.,,,,,,,,,,,,,25,28,26,24,24,26,26,25,26,24,26,26,28,28,28,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,26,26,26,26,26,26,26,26,26,25,26,26,26,23,21,22,24,25,27,28,27,26,28,29,29,30,32,30,33
Maharashtra,Aurangabad,Kalyan HYV,Kg.,,,,,,,,,,,,,27,30,28,26,26,28,28,28,28,27,28,30,30,30,30,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,28,29,28,29,27,30,29,28,28,27,28,31,32,31,31,31,31,30,30,29,30
Maharashtra,Mumbai,Desi,Kg.,38,38,38,38,38,38,38,38,38,38,38,38,38,40,40,36,36,31,30,32,32,30,34,34,30,32,30,28,33,32,30,30,28,30,30,30,32,32,34,36,36,32,30,30,28,32,30,34,34,34,32,34,36,34,32,34,38,38,40,38,40,38,36,35,38,41,42,44,43,43,46,46
Maharashtra,Mumbai,Kalyan HYV,Kg.,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,26,24,25,26,24,22,22,24,24,24,22,22,24,25,28,30,34,34,32,32,32,34,34,33,34,32,28,28,28,24,26,26,28,26,28,26,28,30,30,28,30,34,34,36,34,36,34,32,32,34,36,38,39,38,35,35,34
Maharashtra,Nagpur,Desi,Kg.,,,,,,,,,,,,,28,28,28,28,29,29,29,28,28,28,28,27,27,28,30,30,29,30,30,30,32,32,32,33,33,32,33,33,33,33,34,34,36,36,35,35,30,36,30,32,33,33,33,32,34,34,35,37,37,37,39,40,,,,,,,,
Maharashtra,Nagpur,Kalyan HYV,Kg.,,,,,,,,,,,,,23.5,23.5,23,23,23,24,24,24,24,24,24,23,22,24,24,25,24,24,25,25,26,26,27,28,28,27,29,29,27,26,27,27,29,28,26,26,27,27,25,26,26,26,26,25,25,27,29,27,27,29,31,31,31,31,29,29,30,32,32,38
Maharashtra,Nasik,Desi,Kg.,,,,,,,,,,,,,,,,,,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,Nasik,Kalyan HYV,Kg.,,,,,,,,,,,,,36,30,28,28,28,23,23,25,25,25,25,25,25,25,25,25,28,26,26,26,28,28,26,26,26,26,26,27,24,24,24,24,24,24,23,23,22,24,24,24,24,22,21,25,23,23,25,24,26,28,31,35,36,32,35,35,35,36,39,40
Maharashtra,Pune,Desi,Kg.,,,,,,,,,,,,,30,30,30,28,30,30,30,30,30,30,30,32,32,32,33,38,38,38,30,31,30,30,31,31,32,32,32,32,32,32,33,33,33,33,32,32,29,27,30,26,24,23,22,21,19,19,21,23,24,22,23,26,,,,,,,,
Maharashtra,Pune,Kalyan HYV,Kg.,,,,,,,,,,,,,28,28,28,26,26,26,26,26,26,26,28,30,30,30,27,26,26,28,28,30,30,31,32,32,33,33,33,33,33,33,35,35,35,34,34,34,35,35,36,36,37,40,39,38,38,45,48,42,38,32,34,38,36,39,34,37,37,36,40,42
National Capital,Delhi,Kalyan HYV,Kg.,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,24,24,24,24,25,25,25,25,26,26,26,27,27,27,28,29,29,29,29,29,,27,27,27,27,26,26,26,26,26,26,26,26,,26,25,25,25,25,25,25,25,25,25,25,25,25,26,26,27,27,27,
Orissa,Bhawanipatna,Desi,Kg.,,,,,,,,,,,,,,,,,,30,30,30,30,30,32,32,32,32,32,32,32,32,32,32,32,32,32,32,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
Orissa,Bhubneshwar,Desi,Kg.,30,30,30,30,30,30,30,30,30,28,28,28,30,30,30,28,28,28,28,28,28,28,29,30,30,30,30,30,30,30,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,34,35,35,35,36,38,38,38,38,38,38,38,38,38,38,40,40,40,40,40
Orissa,Bhubneshwar,Kalyan HYV,Kg.,23,23,22,22,22,21,21,21,20,20,21,21,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27,28,28,28,28,28,28,29,31,32,32,32,33,34,34,34,34,34,34,34,34,34,34,35,35,35,35,35
Orissa,Cuttack,Desi,Kg.,32,34,33,33,33,32,30,30,28,28,32,26,29,30,30,32,32,32,32,32,32,32,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,32,32,30,30,30,36,36,36,36,36,36,36
Orissa,Cuttack,Kalyan HYV,Kg.,24,23,23,23,23,22,21,21,21,21,21,20,22,22,22,22,22,22,22,22,22,22,24,24,25,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,Amritsar,Kalyan HYV,Kg.,25,,25,,,,,,22,22,22,21,21,21,21,21,20,,,,,,,19,19,19,,19,19,19,22,,22,22,22,22,,22,,,22,23,22,22,23,,25,25,25,25,25,19.85,25,,22,25,25,,25,25,25,25,25,25,25,25,25,25,,,,
Rajasthan,Dausa,Desi,Kg.,25,22,20,23,21,18,20,20,20,20,20,20,20,20,20,20,21,21,23,22,21,22,23,24,23,25,23,20,23,22,22,22,24,25,25,26,25,24,26,28,24,25,23,24,25,23,23,24,25,26,26,26,26,25,26,26,27,26,26,27,26,27,28,30,31,31,31,31,32,32,33,34
Rajasthan,Dausa,Kalyan HYV,Kg.,20,19,17,17,17,16,18,20,17,17,18,18,18,17,18,18,18,17,18,20,20,20,22,21,20,23,21,18,19,19,19,20,26,27,25,25,24,24,26,24,22,23,24,25,23,23,22,22,24,21,23,24,25,24,25,24,25,24,24,23,24,25,26,26,27,26,27,27,26,26,27,28
Rajasthan,Jaipur,Desi,Kg.,25,25,27,29,24,25,25,24,24,24,24,25,22,22,21,22,22,22,24,24,24,24,24,24,24,24,25,25,24,22,25,25,25,25,25,26,25,25,25,24,22,22,23,25,23,23,22,21,21,23,22,24,25,25,26,25,27,27,27,29,28,28,29,31,31,31,31,31,32,33,33,34
Rajasthan,Jaipur,Kalyan HYV,Kg.,25,25,28,29,26,25,25,24,24,24,24,25,23,23,21,22,22,23,22,24,23,24,24,24,24,24,25,25,24,23,25,25,24,24,25,26,25,25,25,24,23,24,23,24,24,23,23,22,23,22,20,22,23,23,23,22,24,24,24,24,25,25,26,27,27,26,27,27,26,26,27,28
Rajasthan,Jodhpur,Desi,Kg.,26,26,26,26,26,27,27,27,26,26,26,26,26,24,24,24,24,25,25,25,24,24,23,25,25,25,25,25,26,25,25,25,25,27,27,26,26,27,27,28,30,26,25,24,24,23,22,23,24,23,24,23,25,24,26,28,29,30,30,29,28,29,30,31,32,31,30,31,32,33,34,35
Rajasthan,Jodhpur,Kalyan HYV,Kg.,24,24,25,24,24,25,26,26,27,27,27,27,25,24,24,24,25,26,26,26,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,25,25,26,27,26,24,23,23,23,23,22,20,21,21,21,22,21,22,21,23,24,25,25,25,24,25,24,26,27,28,27,28,27,28,27,27,28
Rajasthan,Swaimadhopur,Desi,Kg.,,,,,,,,,,22,23,23,23,23,23,23,23,23,24,24,24,24,27,27,27,25,25,25,26,26,26,26,25,27,26,28,27,27,27,24,23,23,22,23,22,22,22,23,22,23,22,23,24,24,25,25,25,26,26,25,26,27,28,30,31,31,31,31,31,33,34,35
Rajasthan,Swaimadhopur,Kalyan HYV,Kg.,23,24,18,18,18,18,18,18,19,18,19,19,19,19,19,19,19,19,22,22,22,24,25,25,25,23,23,23,24,24,24,24,25,25,26,24,25,25,25,25,21,21,20,22,22,22,20,21,20,20,20,21,22,22,23,23,23,24,24,23,24,23,26,26,28,27,28,27,28,27,28,29
Rajasthan,Udaipur,Desi,Kg.,24,20,20,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,24,24,24,25,25,24,24,24,24,24,25,24,24,25,24,25,24,24,22,22,22,23,22,23,22,22,21,23,23,23,24,23,24,25,26,25,27,26,27,28,29,30,31,31,31,31,32,33,34,35
Rajasthan,Udaipur,Kalyan HYV,Kg.,25,25,25,25,25,24,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,22,23,23,22,22,22,24,24,25,24,26,25,26,25,26,26,24,24,24,25,24,24,22,24,23,23,22,21,22,22,23,24,23,22,24,23,24,23,25,26,27,26,27,27,27,26,27,28
Tamil Nadu,Chennai,Desi,Kg.,,,,,,,,,,32,33,32,35,35,35,35,32,34,34,34,32,35,34,36,36,34,34,34,32,33,33,33,36,38,36,38,38,35,40,42,45,44,44,48,50,48,42,40,42,44,42,42,44,45,46,44,40,40,42,40,40,40,38,40,44,44,40,38,39,40,40,44
Tamil Nadu,Chennai,Kalyan HYV,Kg.,33,33,30,29,29,29,32,31,32,29,30,30,32,32,32,32,35,35,36,36,34,36,36,36,36,35,35,35,36,40,41,42,45,45,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,76,64,60,64,68,66
Tamil Nadu,Coimbatore,Desi,Kg.,34,34,34,34,32,34,34,34,34,36,34,34,34,32,36,36,36,36,36,40,40,40,35,35,35,35,35,35,35,35,35,35,35,35,38,38,38,38,38,38,38,35,34,34,34,34,34,34,36,36,36,34,34,35,34,34,36,36,36,38,38,36,40,40,40,40,44,44,44,44,44,44
Tamil Nadu,Coimbatore,Kalyan HYV,Kg.,60,40,42,38,38,36,36,36,36,36,35,35,35,35,38,38,38,38,38,32,35,38,50,50,46,45,46,55,58,58,58,60,65,65,65,65,56,54,54,54,64,62,58,64,70,100,110,106,125,130,115,105,98,95,85,75,78,80,80,75,70,60,60,65,60,60,56,55,50,50,55,54
Tamil Nadu,Madurai,Desi,Kg.,40,41,41,37,37,37,38,37,44,45,37,37,35,35,35,35,35,35,36,36,36,35,45,46,46,48,48,52,52,54,56,58,58,58,,,,,,,,,,,,,,,,,,,,,,,,29,31,33,34,34,34,34,34,36,38,36,35,38,38,38
Tamil Nadu,Madurai,Kalyan HYV,Kg.,28,28,29,27,27,27,28,27,26,26,26,26,26,26,26,25,25,25,30,31,31,31,31,31,31,31,31,30,30,30,30,32,32,32,34,34,35,35,34,34,34,34,34,34,32,28,28,28,28,26,26,28,28,28,29,28,29,87,85,95,100,90,80,80,80,80,83,48,47,50,50,52
Tamil Nadu,Salem,Desi,Kg.,,,,,,,,,,40,40,39,40,40,40,40,40,,,,,,,,,,,,,,38,,,,,,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,42,42,38,36,36,36,36,36,36,36,37,37,37,40,44
Tamil Nadu,Salem,Kalyan HYV,Kg.,39,39,39,38,38,38,38,38,38,40,40,,,,,,40,36,36,36,36,36,36,33,33,33,33,40,50,50,50,64,65,66,65,65,66,70,70,70,70,70,90,90,90,90,90,90,90,100,105,110,110,100,95,100,100,102,102,95,95,95,90,90,90,90,90,90,90,90,92,92
Tamil Nadu,Tiruchirappalli,Desi,Kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,44,44,44,44,44,45,46,46,47,50
Tamil Nadu,Tiruchirappalli,Kalyan HYV,Kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,77,72,72,72,72,65,64,64,64,64
Tamil Nadu,Tirunelveli,Desi,Kg.,,,34,32,34,34,32,32,32,32,32,32,32,32,30,30,30,30,30,32,32,34,34,34,34,34,34,34,34,34,35,35,35,35,35,45,50,50,55,58,60,60,60,65,100,120,125,125,125,125,125,125,125,110,115,105,100,35,35,35,35,35,36,38,38,38,38,38,38,37,37,37
Tamil Nadu,Tirunelveli,Kalyan HYV,Kg.,,,60,66,66,68,68,70,70,65,50,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,50,50,50,50,50,50,50,35,35,35,35,35,35,34,32,32,32,32,32,32,32,32,32,35,35,35,35,35,95,95,95,115,105,92,85,85,87,87,87,85,80,80,80
